State,Score,Rank
California,0.9736842105263159,1
Massachusetts,0.9411111111111111,2
Washington,0.9164327485380116,3
Oregon,0.8967836257309941,4
Maine,0.8856725146198831,5
Hawaii,0.8832748538011697,6
New York,0.8728070175438596,7
New Jersey,0.8685380116959065,8
Vermont,0.8664912280701754,9
Rhode Island,0.8594152046783625,10
Connecticut,0.8396491228070175,11
Colorado,0.831345029239766,12
Delaware,0.8256725146198831,13
New Hampshire,0.8161988304093568,14
Alaska,0.8159649122807018,15
Illinois,0.706374269005848,16
Minnesota,0.6901754385964912,17
Virginia,0.6891812865497077,18
Utah,0.6871345029239766,19
Maryland,0.6808771929824562,20
North Carolina,0.6316959064327485,21
Pennsylvania,0.6210526315789473,22
Wisconsin,0.5955555555555556,23
Iowa,0.5916959064327485,24
Georgia,0.5649707602339181,25
Texas,0.558187134502924,26
Florida,0.5491228070175438,27
Ohio,0.5464327485380116,28
Arizona,0.5385380116959064,29
Michigan,0.5108187134502924,30
Tennessee,0.5047368421052632,31
Nebraska,0.5019298245614034,32
South Carolina,0.5002923976608187,33
Nevada,0.5002923976608187,33
Indiana,0.4954385964912281,35
Montana,0.4460818713450292,36
Alabama,0.43824561403508777,37
Oklahoma,0.43742690058479533,38
Kentucky,0.4325730994152047,39
Louisiana,0.43116959064327487,40
North Dakota,0.4191812865497076,41
Missouri,0.41678362573099415,42
Arkansas,0.3939181286549708,43
Kansas,0.3925146198830409,44
Wyoming,0.37976608187134503,45
Idaho,0.37228070175438593,46
South Dakota,0.37146198830409355,47
Mississippi,0.3002923976608187,48
New Mexico,0.2994736842105263,49
West Virginia,0.28754385964912277,50
